Id_LP;Age;Sex;Nationality;Native_language;Education;Professional_degree;Employment_main;Current_year_study;Institution_type;Time_ spent;Domain;Topic;Experience_time;Id_ LO_1;URL_1;Query_1;Reason_1;Id_ LO_2;URL_2;Query_2;Reason_2;Id_ LO_3;URL_3;Query_3;Reason_3;Comments;LP_documents_extension;Documents_language;Documents_type
13;45-49 years old;Woman;Venezuelan;Spanish;Master;Business;Lecturer;;Higher-level institution;5;Finance ;Investment projects;> 10 years;2021;http://www.eumed.net/ce/2008b/jtd.htm;Formulación y evaluación de proyectos de inversión;Este documento se encuentra en una de las páginas de mayor consulta para economistas. El lenguaje, aunque técnico, es de fácil comprensión además de ofrecer un esquema y estructura apta para el público no economista. Resume los componentes de un proyecto de inversión.;2022;http://www.fao.org/3/I8097ES/i8097es.pdf;Proyecto de inversión agrícola;La formulación y evaluación de proyectos de inversión suele estar más generalmente desarrollada para proyectos no agrícolas, por lo que cuando se presentan la necesidad u oportunidad, muchos estudiantes no saben a donde recurrir. La FAO a desarrollado esta guía que contiene gran cantidad de aspectos y elementos necesarios para elaborar una propuesta de inversión en el área agrícola.;2023;https://repositorio.cepal.org/bitstream/handle/11362/1681/S3389I59G_es.pdf?sequence=1&isAllowed=y;Guía para elaborar proyectos de inversión;Los textos generalmente empleados para dictar los cursos de formulación y evaluación de proyectos (por ejemplo: Preparación y evaluación de proyectos: Sapag. Evaluación de proyectos: Baca) son textos bastante más extensos que esta guía. No obstante se requieren ciertos conocimientos de matemática financiera y el manejo de excel u otro programa para realizar los cálculos.;Es difícil encontrar textos de 20 páginas en este tema que requiere un conocimiento medio para elaborar proyectos de inversión. Podrían emplearse los recursos de presentaciones o discursos de importantes consultores o expertos en el área de emprendimiento o de proyectos, pero la elaboraci{on de un proyecto de inversión demanda aún más tiempo, lectura y análisis.;Long;Spanish;Text
14;35-39 years old;Man;Ecuadorian;Spanish;Bachelor;Physics;Lecturer;;Higher-level institution;3;Physics ;Quantum computing;6-9 years;4011;https://es.wikipedia.org/wiki/Computaci%C3%B3n_cu%C3%A1ntica;computación cuántica;En el área de ciencias exactas, tales como matemáticas, computación, física la pagina de Wikipedia es una excelente y primera referencia para situarse en el tema. ;4012;http://www.scielo.org.mx/pdf/rmfe/v61n1/v61n1a8.pdf;Consulta;comprensión de lectura;4013;https://repository.eafit.edu.co/bitstream/handle/10784/2367/OrtizRojas_Hernan_2007.pdf?sequence=1;Consulta;explicación detallada;;Long;Spanish;Text
15;25-29 years old;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;6-9 years;1091;http://ramanujan25449.blogspot.com/2017/10/redes-neuronales-y-aprendizaje-profundo.html;redes profundas vs redes neuronales;Ofrece información completa y adaptada a público no especializado;1092;https://rubenlopezg.wordpress.com/2014/05/07/que-es-y-como-funciona-deep-learning/;deep learning explicado;Información muy completa pero entra en detalle en conceptos más avanzados que no son necesarios para entender lo esencial y pueden confundir a lectores más novatos.;1093;http://www.aprendemachinelearning.com/como-funcionan-las-convolutional-neural-networks-vision-por-ordenador/;redes convolucionales;Explica los conceptos en detalle pero profundiza en aspectos de muy bajo nivel y carece de una sección de motivación para entusiasmar al lector.;;Short;Spanish;Text
16;25-29 years old;Man;Chilean;Spanish;PhD;Computer engineering;Student;1st year;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1101;http://ramanujan25449.blogspot.com/2017/10/redes-neuronales-y-aprendizaje-profundo.html;aprendizaje profundo y redes neuronales;En general se ve bien completo y redactado, además cuenta con buenas ilustraciones.;1102;https://es.mathworks.com/discovery/deep-learning.html;aprendizaje profundo y redes neuronales;En general se ve bien redactado;1103;https://planetachatbot.com/inteligencia-artificial-aprendizaje-autom%C3%A1tico-y-aprendizaje-profundo-862ca9790bb9;como funciona una red neuronal aprendizaje profundo;En general se ve bueno y puede complementar bien los otros 2;;Short;Spanish;Text
17;45-49 years old;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1111;https://www.youtube.com/watch?v=6vwfT3-mBBw;redes neuronales  (opción videos);Simplicidad de la explicación para el estudiante;1112;http://www.cs.us.es/~fsancho/?e=72;redes neuronales;Explicación didáctica del tema;1113;https://es.wikipedia.org/wiki/Red_neuronal_artificial;redes neuronales;Wikipedia es una fuente autorizada, material detallado;;Short;Spanish;Text/Multimedia
18;40-44 years old;Woman;Ecuadorian;Spanish;Master;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1121;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;Redes neuronales;el título sencillo y el resumen incial;1122;https://thales.cica.es/rd/Recursos/rd98/TecInfo/07/capitulo2.html;Redes neuronales;El título que menciona fundamentos;1123;http://www.cs.us.es/~fsancho/?e=72;El título;El título;Las páginas web no siempre tienen referencias adecuadas. Yo trabajo con bases de datos digitales o al menos google académico, sería más beneficicio recomendar documentos académicos con citaciones.;Short;Spanish;Text
19;18-24 years old;Man;Chilean;Spanish;Bachelor;Computer engineering;Student;5th year;Higher-level institution;4;Computer ;Artificial neural networks;< 1 year;1131;http://sedici.unlp.edu.ar/bitstream/handle/10915/56978/Documento_completo.pdf-PDFA.pdf?sequence=1&isAllowed=y;redes neuronales astronomia;Corto y preciso. Habla de la taxonomía de catálogos astronómicos de una manera sencilla.;1132;http://scielo.isciii.es/pdf/edu/v8n1/original2.pdf;redes neuronales clasificacion;Compara con métodos estadísticos. Explica resultados mediante tablas y figuras. Resultados interesantes.;1133;http://www.adicciones.es/index.php/adicciones/article/view/623;redes neuronales prediccion;Tema contingente. Explica método de investigación. ;;Long;Spanish;Text
21;40-44 years old;Man;French;French;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1141;https://towardsdatascience.com/how-to-build-your-own-neural-network-from-scratch-in-python-68998a08e4f6;Neural Network from Scratch;Conozco este documento, y es de buena calidad;1142;https://agileartificialintelligence.github.io;"""agile artificial intelligence"" pharo";Es el libro que estoy escribiendo, y es adecuado para gente que quieren aprender;1143;https://en.wikipedia.org/wiki/Backpropagation;backpropagation;La pagina de Wikipedia contiene una buena descripción de backpropagación, un algoritmo importante para entrenar una red neuronal;;Long;English;Text
22;25-29 years old;Man;Chilean;Spanish;Master;Data Scientist;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;4-5 years;1151;https://iartificial.net/redes-neuronales-desde-cero-i-introduccion/;redes neuronales;Complejidad de la lectura, explicacion de lo más general a lo especifico sin asumir muchos conocimientos previos;1152;https://es.slideshare.net/daniatacho/red-neuronal-artificial-ia;redes neuronales;Parecido al primero, pero esta hecha en una presentacion en formato generico, y no para un hablante que no necesariamente tiene una experiencia en el campo.;1153;https://www.deeplearningitalia.com/una-breve-mirada-al-aprendizaje-profundo-y-el-aprendizaje-automatico/;aprendizaje profundo;Muestra de forma muy generica lo que son las redes neuronales profundas, pero sirve para despertar el interes del lector y entender casos de uso.;;Short;Spanish;Text
24;18-24 years old;Man;Ecuadorian;Spanish;Bachelor;Computer engineering;Student;6th year;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1161;https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf;redes neuronales.pdf;Tiene un buen antecedente y te describe por generalidades;1162;http://www.sc.ehu.es/ccwbayes/docencia/mmcc/docs/t8neuronales.pdf;redes neuronales.pdf;Por las ecuaciones y detalles que te describen en las figuras;1163;http://www.iac.es/sieinvens/SINFIN/Sie_Courses_PDFs/NNets/confiac.pdf;redes neuronales.pdf;Se debe por el amplio área de trabajo que tiene este estudio de investigación y como aplicarlo en cada ámbito;Un tema de muy buen interés ;Long;Spanish;Text
27;45-49 years old;Woman;Argentinian;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;4;Computer ;Artificial neural networks;4-5 years;1171;https://es.wikipedia.org/wiki/Red_neuronal_artificial;redes neuronales;simplicidad de la lectura, cantidad de información;1172;http://halweb.uc3m.es/esp/Personal/personas/jmmarin/esp/DM/tema3dm.pdf;Introduccion a redes neuronales;"vocabulario, analogias con la biologia y la definicion de ""Que es?"" y ""Para que sirve?""";1173;http://sedici.unlp.edu.ar/bitstream/handle/10915/1374/2-_Redes_neuronales_artificiales.pdf?sequence=6&isAllowed=y;sedici redes neuronales;simple, completo;;Long;Spanish;Text
28;40-44 years old;Woman;Chilean;Spanish;Bachelor;Geographical engineering;Lecturer;;Higher-level institution;5;Finance ;Investment projects;< 1 year;2031;http://sni.ministeriodesarrollosocial.gob.cl/evaluacion-iniciativas-de-inversion/evaluacion-ex-ante/metodologias-y-precios-sociales-nuevos-sectores/;Metodología de proyectos de inversión social ;Porque no se enseña en las universidades ;2032;https://economipedia.com/definiciones/modelo-valoracion-activos-financieros-capm.html;capm;para valuar activos tomando en cuenta su riesgo;2033;"http://prebip2.ministeriodesarrollosocial.gob.cl/bip2-trabajo/app/login;jsessionid=F4D123955272E30D5DE1C0B2DB1C7803";Banco integrado de proyectos ;Es importante saber llenar una solicitud de proyecto al gobierno;Mucho del trabajo en el gobierno no se ven en la universidad,  se aprende en el camino. ;Short;Spanish;Text
31;35-39 years old;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;> 10 years;1181;https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf;redes neuronales conceptos básicos;Índice de contenidos;1182;http://halweb.uc3m.es/esp/Personal/personas/jmmarin/esp/DM/tema3dm.pdf;Redes neuronales introducción;primeras apariciones en buscador a consulta, contenido introductorio;1183;https://es.wikipedia.org/wiki/Red_neuronal_artificial;red neuronal wikipedia;Siempre busco en Wikipedia cuando me estoy introduciendo en un nuevo concepto;;Long;Spanish;Text
32;35-39 years old;Man;Venezuelan;Spanish;Bachelor;Computer engineering;Student;5th year;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1191;https://catedras.facet.unt.edu.ar/intar/wp-content/uploads/sites/31/2017/04/4-Redes-Neuronales-Parte-III.pdf;redes neuronales convencionales y redes neuronales profundas pdf;Tamaño, facilidad de lectura y diversidad de ejemplos.;1192;https://iaarbook.github.io/deeplearning/;redes neuronales convencionales y redes neuronales profundas pdf;Amplía y contextualiza de forma muy didáctica el tema;1193;http://prof.usb.ve/mvillasa/redes/Introduccion-vl.pdf;introduccion a las redes neuronales;Profundiza, introduce a la idea de formulación de manera fácil. Buena estructuración partiendo de la conexiones sinápticas.;Gracias por este tipo de iniciativas. Muy interesantes y gratificantes. Me gustaría participar en otras de ser posible.;Short;Spanish;Text
33;45-49 years old;Man;Chilean;Spanish;PhD;;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1201;https://es.quora.com/D%C3%B3nde-se-puede-aplicar-el-aprendizaje-profundo;quora aprendizaje profundo;quora es un sitio de preguntas y respuestas breves que provee información provenientes de expertos y de personas con cierta expertise en el tema que se busca;1202;https://www.guru99.com/deep-learning-tutorial.html;deep learning tutorial;explica se forma sucinta que es el deep learning o aprendizaje profundo;1203;https://ocw.ehu.eus/file.php/102/redes_neuro/contenidos/pdf/libro-del-curso.pdf;Fácil información;manual para redes neuronales;;Long;Spanish/English;Text
34;35-39 years old;Man;Chilean;Spanish;PhD;;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;6-9 years;1211;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;redes neuronales basico;presenta ejemplos cotidianos, extensión apropiada, fácil de entender y entretenido de leer;1212;https://www.ibm.com/support/knowledgecenter/es/SS3RA7_sub/modeler_mainhelp_client_ddita/components/neuralnet/neuralnet_model.html;redes neuronales simplificadas;Explicación muy concisa y clara. Aunque falta profundidad, entrega muy buena visión global;1213;https://www.monografias.com/trabajos95/redes-neuronales-artificiales-metodologia-desarrollo-y-aplicaciones/redes-neuronales-artificiales-metodologia-desarrollo-y-aplicaciones.shtml;redes neuronales artificiales introduccion;Introducción clara, buena profundidad de contenidos, aunque mucha matemáticas para estudiantes con poco dominio ;;Short;Spanish;Text
35;40-44 years old;Man;Chilean;Spanish;Master;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1221;https://www.tesisenred.net/bitstream/handle/10803/9441/tjjmm1de1.pdf?sequence=1;redes neuronales articulos cientificos;Su aplicación;1222;https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf;redes neuronales ejemplos;Aterrizar conceptos;1223;https://www.aprendemachinelearning.com/crear-una-red-neuronal-en-python-desde-cero/;redes neuronales python;Construir una red real;Éxito;Long;Spanish;Text
38;25-29 years old;Man;Chilean;Spanish;PhD;Computer engineering;Student;2nd year;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1231;https://iartificial.net/redes-neuronales-desde-cero-i-introduccion/;redes neuronales introduccion;Página muy completa, con ejemplos y figuras;1232;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;redes neuronales;Documento sencillo de leer, con bastantes referencias externas (links);1233;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;redes neuronales;Documento resumen de los anteriores. Bastante sintético.;;Short;Spanish;Text
40;45-49 years old;Man;Ecuadorian;Spanish;Master;Computer engineering;Student;3rd year;Higher-level institution;4;Industrial ;Industrial Revolution;4-5 years;3011;https://es.scribd.com/document/339773312/Las-4-Revoluciones-Industriales;las 4 revoluciones industriales pdf;Síntesis corta y detallada de los aspectos primordiales que marcan a cada revolución;3012;https://www.agendaempresa.com/72101/cuatro-revoluciones-industriales/;Cuatro revoluciones industriales;lectura fácil y aspectos relevantes que identifican claramente a revolución;3013;https://geinfor.com/blog/industria-40/;hitos que han marcado a las revoluciones industriales 2.0, 3.0 y 4.0 en ppt;cantidad de información, lectura comprensible y detallada, cuadros explicativos de fácil asimilación y compresión;Éxitos en la investigación.;Short;Spanish;Text
41;40-44 years old;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Research group;2;Computer ;Artificial neural networks;> 10 years;1241;https://la.mathworks.com/discovery/deep-learning.html;redes neuronales profundas;El vocabulario y semántica es correcto y proporcionado por Mathworks, compañía proveedora de Matlab, la cual esta dentro de las herramientas más potentes para uso de redes neuronales. Además, gran parte de la documentación tiene citas formales.;1242;https://la.mathworks.com/discovery/neural-network.html;redes neuronales matlab;Resumen explicativo de redes neuronales;1243;http://www.itnuevolaredo.edu.mx/takeyas/Apuntes/Inteligencia%20Artificial/Apuntes/tareas_alumnos/RNA/Redes%20Neuronales2.pdf;redes neuronales historia;Un resumen simple del origen y evolución de las redes neuronales artificiales;;Long;Spanish;Text
42;35-39 years old;Man;Ecuadorian;Spanish;PhD;Industrial engineering;Lecturer;;Higher-level institution;5;Industrial ;Industrial Revolution;6-9 years;3021;https://profeenhistoria.com/revolucion-industrial/;Revolución Industrial;Hace referencia de las dos primeras revoluciones industriales;3022;https://www.unprofesor.com/ciencias-sociales/caracteristicas-de-la-primera-revolucion-industrial-1760.html;Caracteristicas de la revolución industrial;Permite darle una continuidad a  la lectura sobre las revolución industrial;3023;http://40.70.207.114/documentosV2/La%20cuarta%20revolucion%20industrial-Klaus%20Schwab%20(1).pdf;cuarta revolución Industrial;Darle continuidad a la lectura;;Long;Spanish;Text
44;45-49 years old;Man;Chilean;Spanish;Master;Industrial engineering;Lecturer;;Higher-level institution;5;Industrial ;Industrial Revolution;6-9 years;3031;https://udimundus.udima.es/bitstream/handle/20.500.12226/174/bueno_analisis.pdf?sequence=1&isAllowed=y;revoluciones industriales 2.0 3.0 4.0;lenguaje y nomen-clatura digital en las organizaciones;3032;https://dialnet.unirioja.es/servlet/articulo?codigo=6489657;industria europa 1.0 a 4.0;para conocer el avance en Europa;3033;"http://uvadoc.uva.es/bitstream/handle/10324/29368/TFM-I-803.pdf;jsessionid=AF0913C9F485B8FD884FC960334F3707?sequence=1";industria 4.0 impresora 3d;impacto del paradigma de la impresora 3d;Tenemos que apuntar a una estrategia de formación bi-lingue desde la infancia, persiste la asimetría entre la cantidad de información en idioma inglés versus la información disponible en la web en idioma español (las publicaciones en idioma inglés superan a las publicaciones en idioma español).;Long;Spanish;Text
47;30-34 years old;Man;Chilean;Spanish;Master;Industrial engineering;Lecturer;;Higher-level institution;5;Finance ;Investment projects;2-3 years;2041;https://www.google.com/url?sa=t&source=web&rct=j&url=http://mail.eure.cl/index.php/eure/article/download/184/545&ved=2ahUKEwjU-JrV_KLkAhV4IrkGHXjjB90QFjABegQIAxAB&usg=AOvVaw1tuJ0tqxTm9KeqwLpVyDLn;Fondos de inversión inmobiliaria;Vocabulario y contexto general;2042;https://www.google.com/url?sa=t&source=web&rct=j&url=https://www.bcentral.cl/documents/20143/31860/bcch_presentac_162340_es.pdf/6703867c-dad7-5bab-f141-641cc36cfae2&ved=2ahUKEwjU-JrV_KLkAhV4IrkGHXjjB90QFjADegQICBAB&usg=AOvVaw3MKHvhEUuBpHnXFKWC4l-M;Sector Inmobiliario y Estabilidad Financiera;Documento oficial del banco central de chile;2043;https://www.google.com/url?sa=t&source=web&rct=j&url=http://www.clapesuc.cl/assets/uploads/2018/12/18-12-18-doc-trab-n52-su-precio-inmobiliarios.pdf&ved=2ahUKEwiMjqnR_aLkAhXiHbkGHd4GBtYQFjAQegQIBRAB&usg=AOvVaw1yCie5g-WqcF8M85IAzhGE;Precios del mercado inmobiliario;Saber los factores de decisión para definir el precio de un inmueble;Dentro de los temas si se puede acotar más el ámbito.;Long;Spanish;Text
49;40-44 years old;Man;Chilean;Spanish;PhD;Computer engineering;Student;;Higher-level institution;5;Computer ;Artificial neural networks;6-9 years;1251;http://avellano.fis.usal.es/~lalonso/RNA/index.htm;historia neurona artificial;tamaño, complejidad;1252;https://steemit.com/spanish/@iars.geo/breve-historias-de-las-redes-neuronales-artificiales-articulo-1;historia neurona artificial;complejidad baja, mayor profundidad en la contextualización;1253;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;red neuronal importancia;explicación práctica y fácil;Interesante iniciativa, felicitaciones!, ya que en español hay muy poco material introductorio a estos temas.;Short;Spanish;Text
50;45-49 years old;Man;Chilean;Spanish;PhD;;Faculty;;Higher-level institution;4;Physics ;Quantum computing;> 10 years;4021;https://www.bbva.com/es/para-que-sirve-un-ordenador-cuantico/;computador cuántico;Dado que el documento está escrito en un lenguaje extremadamente simple y sin tecnicismos, puede llegar a una audiencia muy general. Además, explica con detalle el interés que distintos sectores económicos e industriales han comenzado a desarrollar por los computadores cuánticos. ;4022;https://es.gizmodo.com/como-funciona-la-computacion-cuantica-explicado-de-man-1796976460;Cómo funciona un computador cuántico;Explica claramente las diferencias entre computadores clásicos y cuánticos. Además, elabora sobra las distintas tecnologías empleadas para construir los prototipos de computadores cuánticos y las compañías que los han fabricado.;4023;https://www.bbc.com/mundo/noticias-38856796;construcción de computadores cuánticos;Muestra con bastante detalle y sin caer en tecnicismos una de las tecnologías actuales que se ha empleado para construir un prototipo de computador cuántico.;;Short;Spanish;Text
